"movie","scene","character","dialog"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","Caveat Smeltona. Proudest moment of my life."
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry","Will I have to wear that, too?"
"Harry Potter and the Philosopher's Stone","Letters from No One","Petunia","What, you? Go to Smeltings?"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","Ha!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Petunia","Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it."
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry","But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin."
"Harry Potter and the Philosopher's Stone","Letters from No One","Petunia","It'll fit you well enough. Go get the post.  Go!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","Oh, Marge is ill! Ate a funny whelk."
"Harry Potter and the Philosopher's Stone","Letters from No One","Dudley","Dad! Look! Harry's got a letter!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry","Hey, give it back! It's mine!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","Yours? Who'd be writing to you?"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","No more mail through this letterbox."
"Harry Potter and the Philosopher's Stone","Letters from No One","Petunia","Have a lovely day at the office, dear."
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","Shoo! Go on!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?"
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry","Because there's no post on Sunday?"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-"
"Harry Potter and the Philosopher's Stone","Letters from No One","Dudley","AHH! Make it stop! Please make it stop!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","Go away, ahh!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Dudley","What is it? Please tell me what's happening!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","Give me that! Give me that letter!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry","Get off! Ahh!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","Ahh!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Harry","They're my letters! Let go of me!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Vernon","That's it! We're going away! Far away! Where they can't find us!"
"Harry Potter and the Philosopher's Stone","Letters from No One","Dudley","Daddy's gone mad, hasn't he?!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry","Make a wish, Harry."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Vernon","Who's there? Ahh!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","Sorry 'bout that."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Vernon","I demand that you leave at once, sir! You are breaking and entering!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Dudley","I-I-I'm not Harry."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry","I-I am."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry","Thank you!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","It's not every day that your young man turns eleven, now is it?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry","Excuse me, who are you?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry","Sorry, no."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry","Learned what?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","You're a wizard, Harry."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry","I-I'm a what?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","A wizard. And a thumping good one at that, I'd wager. Once you train up a little."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry","No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry","Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Vernon","He'll not be going! We swore when we took him in, we’d put a stop to this rubbish!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry","You knew? You knew all along and you never told me?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Petunia","Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry","Blown up? You told me my parents died in a car crash!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","A car crash? A car crash kill James and Lily Potter?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Petunia","We had to tell him something."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","It's an outrage! It's a scandal!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Vernon","He'll not be going!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","Oh, and I suppose a great Muggle like yourself's going to stop him, are you?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry","Muggle?"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","Non magic folk.  This boy's had his name down ever since he was born!  He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the finest headmaster that Hogwarts has ever seen: Albus Dumbledore."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Vernon","I will not pay for some crackpot old fool to teach him magic tricks!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","Never, insult Albus Dumbledore, in front of me."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Dudley","Ahh!"
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Harry","Okay."
"Harry Potter and the Philosopher's Stone","Keeper of the Keys","Hagrid","Ooh, we're a bit behind schedule. Best be off.  Unless you'd rather stay, of course. Hmm?"
"Harry Potter and the Philosopher's Stone","Diagon Alley","Harry","First year students will require: three sets of work robes, one wand."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Hagrid","Essential bit of equipment, Harry."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Harry","One pair of dragon-hide gloves.  Hagrid, do they mean for a real dragon?"
"Harry Potter and the Philosopher's Stone","Diagon Alley","Hagrid","Well, they don't mean for a penguin, do they? Heh. Crikey, but not a dragon."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Harry","But you like a dragon?"
"Harry Potter and the Philosopher's Stone","Diagon Alley","Hagrid","Fast and misunderstood beasts, Harry. Fast and misunderstood."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Harry","All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Could we find all this in London?"
"Harry Potter and the Philosopher's Stone","Diagon Alley","Hagrid","If you know where to go."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Tom","Ah, Hagrid! The usual, I presume?"
"Harry Potter and the Philosopher's Stone","Diagon Alley","Hagrid","No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Tom","Bless my soul. It's Harry Potter."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Man","Welcome back, Mr. Potter, welcome back."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Witch","Doris Crockford, Mr. Potter. I can't believe I'm meeting you at last."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Quirrell","Harry P-potter. C-can't tell you how pleased I am to meet you."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Hagrid","Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Harry","Oh, nice to meet you."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Quirrell","F-fearfully fascinating subject. N-not that you need it, e-eh, Potter? Heheh."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Hagrid","Yes, well, must be going now. Lots to buy. Heh."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Harry","Goodbye."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Hagrid","See, Harry, you're famous!"
"Harry Potter and the Philosopher's Stone","Diagon Alley","Harry","But why am I famous, Hagrid? All those people back there, how is it they know who I am?"
"Harry Potter and the Philosopher's Stone","Diagon Alley","Hagrid","I'm not exactly sure I'm the right person to tell you that, Harry.  Welcome, Harry, to Diagon Alley.  Here's where you'll get your quills and ink, and over there all your bits and bobs for doing your wizardry."
"Harry Potter and the Philosopher's Stone","Diagon Alley","Boy","It's a world class racing broom. Look at it, it’s the new Nimbus 2000! It's the fastest model yet."
"Harry Potter and the Philosopher's Stone","Gringotts","Harry","But, Hagrid, how am I to pay for all this? I haven't any money."
"Harry Potter and the Philosopher's Stone","Gringotts","Hagrid","Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts."
"Harry Potter and the Philosopher's Stone","Gringotts","Harry","Uh, Hagrid, what exactly are these things?"
"Harry Potter and the Philosopher's Stone","Gringotts","Hagrid","They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal."
"Harry Potter and the Philosopher's Stone","Gringotts","Goblin","And does Mr. Harry Potter have his key?"
"Harry Potter and the Philosopher's Stone","Gringotts","Hagrid","Oh. Wait a minute. Got it here somewhere. Hah. There's the little devil.  Oh, and there's something else as well.  Professor Dumbledore gave me this.  It's about you-know-what in vault you-know-which."
"Harry Potter and the Philosopher's Stone","Gringotts","Goblin","Very well."
"Harry Potter and the Philosopher's Stone","Gringotts","Griphook","Vault 687. Lamp, please.  Key please."
"Harry Potter and the Philosopher's Stone","Gringotts","Hagrid","Didn't think your mum and dad would leave you with nothing now, did ya?"
"Harry Potter and the Philosopher's Stone","Gringotts","Griphook","Vault 713."
"Harry Potter and the Philosopher's Stone","Gringotts","Harry","What's in there, Hagrid?"
"Harry Potter and the Philosopher's Stone","Gringotts","Hagrid","Can't tell you, Harry. It's Hogwarts business. Very secret."
"Harry Potter and the Philosopher's Stone","Gringotts","Griphook","Stand back."
"Harry Potter and the Philosopher's Stone","Gringotts","Hagrid","Best not mention this to anyone, Harry."
"Harry Potter and the Philosopher's Stone","Ollivanders","Harry","I still need...a wand."
"Harry Potter and the Philosopher's Stone","Ollivanders","Hagrid","A wand? Well, you'll want Ollivanders.  No place better. Run along there, but wait. I just got one more thing I got to do. Won't be long."
"Harry Potter and the Philosopher's Stone","Ollivanders","Harry","Hello? Hello?"
"Harry Potter and the Philosopher's Stone","Ollivanders","Ollivander","I wondered when I'd be seeing you, Mr. Potter. It seems only yesterday that your mother and father were in here buying their first wands.  Ah. Here we are.  Well, give it a wave.  Apparently not.  Perhaps this.  No, no, definitely not! No matter...  I wonder.  Curious, very curious."
"Harry Potter and the Philosopher's Stone","Ollivanders","Harry","Sorry, but what's curious?"
"Harry Potter and the Philosopher's Stone","Ollivanders","Ollivander","I remember every wand I've ever sold, Mr. Potter. It just so happens that the phoenix, whose tail feather resides in your wand gave one other feather, just one. It is curious that you should be destined for this wand when its brother gave you that scar."
"Harry Potter and the Philosopher's Stone","Ollivanders","Harry","And...who owned that wand?"
"Harry Potter and the Philosopher's Stone","Ollivanders","Ollivander","Oh, we do not speak his name. The wand chooses the wizard, Mr. Potter. It's not always clear why, but I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things...terrible, yes, but great."
"Harry Potter and the Philosopher's Stone","Ollivanders","Hagrid","Harry! Harry! Happy birthday!"
"Harry Potter and the Philosopher's Stone","Ollivanders","Harry","Wow."
"Harry Potter and the Philosopher's Stone","The Boy Who Lived","Hagrid","You all right, Harry? You seem very quiet."
"Harry Potter and the Philosopher's Stone","The Boy Who Lived","Harry","He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do."
"Harry Potter and the Philosopher's Stone","The Boy Who Lived","Hagrid","First, and understand this, Harry, 'cause it's very important. Not all wizards are good. Some of them go bad. A few years ago, there was one wizard who went as bad as you can go. And his name was V-...his name was V-..."
"Harry Potter and the Philosopher's Stone","The Boy Who Lived","Harry","Maybe if you wrote it down?"
"Harry Potter and the Philosopher's Stone","The Boy Who Lived","Hagrid","No, I can't spell it. All right.  Voldemort."
"Harry Potter and the Philosopher's Stone","The Boy Who Lived","Harry","Voldemort?"
"Harry Potter and the Philosopher's Stone","The Boy Who Lived","Hagrid","Shh!!"
"Harry Potter and the Philosopher's Stone","The Boy Who Lived","Hagrid","It was dark times, Harry, dark times.  Voldemort started to gather some followers, brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em.  Nobody...not one. ‘Cept you."
"Harry Potter and the Philosopher's Stone","The Boy Who Lived","Harry","Me? Voldemort tried to kill...me?"
"Harry Potter and the Philosopher's Stone","The Boy Who Lived","Hagrid","Yes. That ain't no ordinary cut on your forehead, Harry. A mark like that only comes from being touched by a curse...and an evil curse at that."
"Harry Potter and the Philosopher's Stone","The Boy Who Lived","Harry","What happened to...to You-Know-Who?"
"Harry Potter and the Philosopher's Stone","The Boy Who Lived","Hagrid","Well, some say he died. Codswallop in my opinion. Nope, I reckon he's out there, still, too tired to go on. But one thing's absolutely certain. Something about you stumped him that night. That's why you're famous. That's why everybody knows your name. You're the boy who lived."
"Harry Potter and the Philosopher's Stone","Platform 9¾","Hagrid","What're you looking at?  Blimey, is that the time? Sorry, Harry, I'm gonna have to leave you. Dumbledore'll be wanting his- well, he'll be wanting to see me. Now, uh, your train leaves in 10 minutes. Here's your ticket.  Stick to it, Harry that's very important. Stick to your ticket."
"Harry Potter and the Philosopher's Stone","Platform 9¾","Harry","Platform 9¾? But, Hagrid, there must be a mistake. This says Platform 9¾. There's no such thing...is there?"
"Harry Potter and the Philosopher's Stone","Platform 9¾","Man","Sorry."
"Harry Potter and the Philosopher's Stone","Platform 9¾","Harry","Excuse me, excuse me."
"Harry Potter and the Philosopher's Stone","Platform 9¾","Guard","Right on your left, ma'am."
"Harry Potter and the Philosopher's Stone","Platform 9¾","Harry","Excuse me, sir. Can you tell me where I might find Platform 9¾?"
"Harry Potter and the Philosopher's Stone","Platform 9¾","Guard","9¾? Think you're being funny, do ya?"
"Harry Potter and the Philosopher's Stone","Platform 9¾","Mrs. Weasley","It's the same year after year. Always packed with Muggles, of course."
"Harry Potter and the Philosopher's Stone","Platform 9¾","Harry","Muggles?"
"Harry Potter and the Philosopher's Stone","Platform 9¾","Mrs. Weasley","Come on. Platform 9¾ this way! All right, Percy, you first."
"Harry Potter and the Philosopher's Stone","Platform 9¾","Mrs. Weasley","Fred, you next."
"Harry Potter and the Philosopher's Stone","Platform 9¾","George","He's not Fred, I am!"
"Harry Potter and the Philosopher's Stone","Platform 9¾","Fred","Honestly, woman, you call yourself our mother."
"Harry Potter and the Philosopher's Stone","Platform 9¾","Mrs. Weasley","Oh, I'm sorry, George."
"Harry Potter and the Philosopher's Stone","Platform 9¾","Fred","I'm only joking. I am Fred."
"Harry Potter and the Philosopher's Stone","Platform 9¾","Harry","Excuse me! C-could you tell me how to-"
"Harry Potter and the Philosopher's Stone","Platform 9¾","Mrs. Weasley","How to get on the platform? Yes, not to worry, dear. It's Ron's first time to Hogwarts as well.  Now, all you've got to do is walk straight at the wall between platforms 9 and 10. Best do it at a bit of a run if you're nervous."
"Harry Potter and the Philosopher's Stone","Platform 9¾","Ginny","Good luck."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","Excuse me, do you mind? Everywhere else is full."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Harry","No, not at all."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","I'm Ron, by the way. Ron Weasley."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Harry","I'm Harry. Harry Potter."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","So-so it's true? I mean, do you really have the...the..."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Harry","The what?"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","Scar...?"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Harry","Oh"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","Wicked."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Woman","Anything off the trolley, dears?"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","No, thanks, I'm all set."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Harry","We'll take the lot!"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","Whoa!"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Harry","Bertie Bott's Every Flavour Beans?"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","They mean every flavour! There's chocolate and peppermint, and there's also spinach, liver and tripe. George sweared he got a bogey-flavoured one once!"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Harry","These aren't real chocolate frogs, are they?"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","It's just a spell. Besides, it's the cards you want. Each pack's got a famous witch or wizard. I got about 500 meself.  Watch it!  Oh, that's rotten luck. They've only got one good jump in them to begin with."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Harry","I got Dumbledore!"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","I got about 6 of him."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Harry","Hey, he's gone!"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","Well, you can't expect him to hang around all day, can you?  This is Scabbers, by the way, pathetic, isn't he?"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Harry","A little."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","Fred gave me a spell as to turn him yellow. Want to see?"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Harry","Yeah!"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","Ahem. Sun-"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Hermione","Has anyone seen a toad? A boy named Neville's lost one."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","No."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Hermione","Oh, are you doing magic? Let's see then."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","Sunshine, daises, butter mellow, turn this stupid fat rat yellow!"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Hermione","Are you sure that's a real spell? Well, it's not very good, is it? Of course I've only tried a few simple spells myself, and they've all worked for me. For example...  Oculus Reparo.  That's better, isn't it? Holy Cricket, you're Harry Potter. I'm Hermione Granger...and you are...?"
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Ron","I'm...Ron Weasley."
"Harry Potter and the Philosopher's Stone","Ron and Hermione","Hermione","Pleasure. You two better change into your robes. I expect we'll be arriving soon.  You've got dirt, on your nose, by the way, did you know? Just there."
"Harry Potter and the Philosopher's Stone","Welcome to Hogwarts","Hagrid","Right, then! First years! This way, please! Come on, now, don't be shy! Come on now, hurry up!"
"Harry Potter and the Philosopher's Stone","Welcome to Hogwarts","Hagrid","Hello, Harry."
"Harry Potter and the Philosopher's Stone","Welcome to Hogwarts","Harry","Hey, Hagrid."
"Harry Potter and the Philosopher's Stone","Welcome to Hogwarts","Ron","Whoaa!"
"Harry Potter and the Philosopher's Stone","Welcome to Hogwarts","Hagrid","Right then. This way to the boats! Come on, now, follow me."
"Harry Potter and the Philosopher's Stone","Welcome to Hogwarts","Ron","Wicked."
"Harry Potter and the Philosopher's Stone","Welcome to Hogwarts","McGonagall","Welcome to Hogwarts. Now, in a few moments, you will pass through these doors and join your classmates. But before you can take your seats, you must be sorted into your houses. They are Gryffindor, Hufflepuff, Ravenclaw, and Slytherin. Now while you’re here, your house will be like your family. Your triumphs will earn you house points. Any rule breaking, and you will lose points. At the end of the year, the house with the most points is awarded the house cup."
"Harry Potter and the Philosopher's Stone","Welcome to Hogwarts","Neville","Trevor!  Sorry."
"Harry Potter and the Philosopher's Stone","Welcome to Hogwarts","McGonagall","The sorting ceremony will begin momentarily."
